epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,4433.67,0.55947,0.44756,1.07153,0.97573,0.97466,0.99263,0.92046,0.38398,0.25957,0.84868,0.000297232,0.000297232,0.000297232
82,4489.1,0.53105,0.42553,1.05164,0.98154,0.9723,0.99224,0.91884,0.3828,0.26422,0.8502,0.000283085,0.000283085,0.000283085
83,4544.98,0.54279,0.43716,1.05693,0.98125,0.97308,0.99289,0.92301,0.37728,0.25642,0.8462,0.000268938,0.000268938,0.000268938
84,4600.03,0.5524,0.43324,1.05552,0.9907,0.96527,0.9932,0.91603,0.38862,0.25375,0.85413,0.000254791,0.000254791,0.000254791
85,4655.41,0.53925,0.42534,1.05592,0.98417,0.97488,0.99324,0.92347,0.37477,0.25041,0.84318,0.000240644,0.000240644,0.000240644
86,4710.29,0.53613,0.42376,1.05221,0.98805,0.9722,0.99316,0.92619,0.36791,0.24693,0.8421,0.000226497,0.000226497,0.000226497
87,4765.47,0.5246,0.41223,1.04591,0.98091,0.97654,0.99342,0.9263,0.37013,0.24858,0.84134,0.000212349,0.000212349,0.000212349
88,4821.48,0.51601,0.41046,1.03819,0.98554,0.97348,0.99339,0.92866,0.36219,0.2408,0.83244,0.000198202,0.000198202,0.000198202
89,4877.64,0.52165,0.41876,1.04791,0.98101,0.97586,0.99339,0.92912,0.36059,0.24379,0.83218,0.000184055,0.000184055,0.000184055
90,4933.01,0.53164,0.41298,1.04225,0.98856,0.97205,0.99344,0.92724,0.358,0.23719,0.83117,0.000169908,0.000169908,0.000169908
91,4994.07,0.39919,0.29903,0.97251,0.9856,0.97257,0.99334,0.92354,0.36499,0.24163,0.83498,0.000155761,0.000155761,0.000155761
92,5050.09,0.3895,0.27407,0.95792,0.98308,0.975,0.99342,0.92664,0.35709,0.24037,0.83089,0.000141614,0.000141614,0.000141614
93,5105.07,0.38246,0.27075,0.95813,0.987,0.97279,0.99344,0.92751,0.35406,0.23948,0.82798,0.000127467,0.000127467,0.000127467
94,5160.73,0.37009,0.25768,0.93854,0.98861,0.97439,0.99381,0.93076,0.35257,0.23647,0.82698,0.00011332,0.00011332,0.00011332
95,5215.9,0.37574,0.2598,0.94472,0.98728,0.97603,0.99385,0.93181,0.34291,0.23056,0.81859,9.91726e-05,9.91726e-05,9.91726e-05
96,5271.37,0.37048,0.25046,0.94622,0.99082,0.97738,0.99402,0.93558,0.34133,0.22736,0.81576,8.50255e-05,8.50255e-05,8.50255e-05
97,5326.69,0.36872,0.25414,0.94017,0.99194,0.97585,0.99398,0.93647,0.33662,0.22345,0.81247,7.08784e-05,7.08784e-05,7.08784e-05
98,5382.12,0.35947,0.24656,0.93974,0.99043,0.97716,0.99406,0.93638,0.33579,0.22304,0.81234,5.67313e-05,5.67313e-05,5.67313e-05
99,5437.51,0.36262,0.2451,0.9347,0.98966,0.97966,0.99413,0.9377,0.33386,0.22145,0.81118,4.25842e-05,4.25842e-05,4.25842e-05
100,5492.48,0.3575,0.2441,0.93722,0.99108,0.97671,0.99413,0.9376,0.33137,0.22034,0.80973,2.84371e-05,2.84371e-05,2.84371e-05
